model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
llama3.2:3b,pred_conf,0.0,200,1.0,146,0.73,200
llama3.2:3b,pred_conf,0.1,200,1.0,146,0.73,200
llama3.2:3b,pred_conf,0.2,200,1.0,146,0.73,200
llama3.2:3b,pred_conf,0.3,200,1.0,146,0.73,200
llama3.2:3b,pred_conf,0.4,200,1.0,146,0.73,200
llama3.2:3b,pred_conf,0.5,200,1.0,146,0.73,200
llama3.2:3b,pred_conf,0.6,200,1.0,146,0.73,200
llama3.2:3b,pred_conf,0.7,200,1.0,146,0.73,200
llama3.2:3b,pred_conf,0.8,200,1.0,146,0.73,200
llama3.2:3b,pred_conf,0.9,177,0.885,131,0.74,200
llama3.2:3b,pred_conf,0.95,148,0.74,106,0.716,200
llama3.2:3b,pred_conf,0.99,91,0.455,65,0.714,200
olmo2:7b,pred_conf,0.0,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.1,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.2,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.3,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.4,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.5,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.6,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.7,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.8,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.9,155,0.775,122,0.787,200
olmo2:7b,pred_conf,0.95,155,0.775,122,0.787,200
olmo2:7b,pred_conf,0.99,10,0.05,7,0.7,200
mistral:7b,pred_conf,0.0,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.1,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.2,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.3,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.4,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.5,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.6,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.7,200,1.0,162,0.81,200
mistral:7b,pred_conf,0.8,194,0.97,158,0.814,200
mistral:7b,pred_conf,0.9,178,0.89,146,0.82,200
mistral:7b,pred_conf,0.95,129,0.645,107,0.829,200
mistral:7b,pred_conf,0.99,0,0.0,0,,200
gemma3:4b,pred_conf,0.0,200,1.0,163,0.815,200
gemma3:4b,pred_conf,0.1,200,1.0,163,0.815,200
gemma3:4b,pred_conf,0.2,200,1.0,163,0.815,200
gemma3:4b,pred_conf,0.3,200,1.0,163,0.815,200
gemma3:4b,pred_conf,0.4,200,1.0,163,0.815,200
gemma3:4b,pred_conf,0.5,200,1.0,163,0.815,200
gemma3:4b,pred_conf,0.6,200,1.0,163,0.815,200
gemma3:4b,pred_conf,0.7,200,1.0,163,0.815,200
gemma3:4b,pred_conf,0.8,200,1.0,163,0.815,200
gemma3:4b,pred_conf,0.9,69,0.345,55,0.797,200
gemma3:4b,pred_conf,0.95,5,0.025,4,0.8,200
gemma3:4b,pred_conf,0.99,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.0,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_iso,0.1,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_iso,0.2,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_iso,0.3,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_iso,0.4,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_iso,0.5,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_iso,0.6,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_iso,0.7,177,0.885,131,0.74,200
llama3.2:3b,pred_conf_iso,0.8,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.9,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.95,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.99,0,0.0,0,,200
olmo2:7b,pred_conf_iso,0.0,200,1.0,158,0.79,200
olmo2:7b,pred_conf_iso,0.1,200,1.0,158,0.79,200
olmo2:7b,pred_conf_iso,0.2,200,1.0,158,0.79,200
olmo2:7b,pred_conf_iso,0.3,200,1.0,158,0.79,200
olmo2:7b,pred_conf_iso,0.4,200,1.0,158,0.79,200
olmo2:7b,pred_conf_iso,0.5,200,1.0,158,0.79,200
olmo2:7b,pred_conf_iso,0.6,200,1.0,158,0.79,200
olmo2:7b,pred_conf_iso,0.7,198,0.99,156,0.788,200
olmo2:7b,pred_conf_iso,0.8,10,0.05,7,0.7,200
olmo2:7b,pred_conf_iso,0.9,10,0.05,7,0.7,200
olmo2:7b,pred_conf_iso,0.95,0,0.0,0,,200
olmo2:7b,pred_conf_iso,0.99,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.0,200,1.0,162,0.81,200
mistral:7b,pred_conf_iso,0.1,200,1.0,162,0.81,200
mistral:7b,pred_conf_iso,0.2,200,1.0,162,0.81,200
mistral:7b,pred_conf_iso,0.3,200,1.0,162,0.81,200
mistral:7b,pred_conf_iso,0.4,200,1.0,162,0.81,200
mistral:7b,pred_conf_iso,0.5,200,1.0,162,0.81,200
mistral:7b,pred_conf_iso,0.6,200,1.0,162,0.81,200
mistral:7b,pred_conf_iso,0.7,200,1.0,162,0.81,200
mistral:7b,pred_conf_iso,0.8,167,0.835,137,0.82,200
mistral:7b,pred_conf_iso,0.9,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.95,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.99,0,0.0,0,,200
gemma3:4b,pred_conf_iso,0.0,200,1.0,163,0.815,200
gemma3:4b,pred_conf_iso,0.1,200,1.0,163,0.815,200
gemma3:4b,pred_conf_iso,0.2,200,1.0,163,0.815,200
gemma3:4b,pred_conf_iso,0.3,200,1.0,163,0.815,200
gemma3:4b,pred_conf_iso,0.4,200,1.0,163,0.815,200
gemma3:4b,pred_conf_iso,0.5,200,1.0,163,0.815,200
gemma3:4b,pred_conf_iso,0.6,197,0.985,160,0.812,200
gemma3:4b,pred_conf_iso,0.7,197,0.985,160,0.812,200
gemma3:4b,pred_conf_iso,0.8,86,0.43,71,0.826,200
gemma3:4b,pred_conf_iso,0.9,0,0.0,0,,200
gemma3:4b,pred_conf_iso,0.95,0,0.0,0,,200
gemma3:4b,pred_conf_iso,0.99,0,0.0,0,,200
llama3.2:3b,pred_conf_temp,0.0,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_temp,0.1,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_temp,0.2,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_temp,0.3,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_temp,0.4,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_temp,0.5,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_temp,0.6,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_temp,0.7,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_temp,0.8,200,1.0,146,0.73,200
llama3.2:3b,pred_conf_temp,0.9,177,0.885,131,0.74,200
llama3.2:3b,pred_conf_temp,0.95,139,0.695,97,0.698,200
llama3.2:3b,pred_conf_temp,0.99,91,0.455,65,0.714,200
olmo2:7b,pred_conf_temp,0.0,200,1.0,158,0.79,200
olmo2:7b,pred_conf_temp,0.1,200,1.0,158,0.79,200
olmo2:7b,pred_conf_temp,0.2,200,1.0,158,0.79,200
olmo2:7b,pred_conf_temp,0.3,200,1.0,158,0.79,200
olmo2:7b,pred_conf_temp,0.4,200,1.0,158,0.79,200
olmo2:7b,pred_conf_temp,0.5,200,1.0,158,0.79,200
olmo2:7b,pred_conf_temp,0.6,200,1.0,158,0.79,200
olmo2:7b,pred_conf_temp,0.7,200,1.0,158,0.79,200
olmo2:7b,pred_conf_temp,0.8,200,1.0,158,0.79,200
olmo2:7b,pred_conf_temp,0.9,155,0.775,122,0.787,200
olmo2:7b,pred_conf_temp,0.95,10,0.05,7,0.7,200
olmo2:7b,pred_conf_temp,0.99,10,0.05,7,0.7,200
mistral:7b,pred_conf_temp,0.0,200,1.0,162,0.81,200
mistral:7b,pred_conf_temp,0.1,200,1.0,162,0.81,200
mistral:7b,pred_conf_temp,0.2,200,1.0,162,0.81,200
mistral:7b,pred_conf_temp,0.3,200,1.0,162,0.81,200
mistral:7b,pred_conf_temp,0.4,200,1.0,162,0.81,200
mistral:7b,pred_conf_temp,0.5,200,1.0,162,0.81,200
mistral:7b,pred_conf_temp,0.6,200,1.0,162,0.81,200
mistral:7b,pred_conf_temp,0.7,200,1.0,162,0.81,200
mistral:7b,pred_conf_temp,0.8,194,0.97,158,0.814,200
mistral:7b,pred_conf_temp,0.9,167,0.835,137,0.82,200
mistral:7b,pred_conf_temp,0.95,71,0.355,57,0.803,200
mistral:7b,pred_conf_temp,0.99,0,0.0,0,,200
gemma3:4b,pred_conf_temp,0.0,200,1.0,163,0.815,200
gemma3:4b,pred_conf_temp,0.1,200,1.0,163,0.815,200
gemma3:4b,pred_conf_temp,0.2,200,1.0,163,0.815,200
gemma3:4b,pred_conf_temp,0.3,200,1.0,163,0.815,200
gemma3:4b,pred_conf_temp,0.4,200,1.0,163,0.815,200
gemma3:4b,pred_conf_temp,0.5,200,1.0,163,0.815,200
gemma3:4b,pred_conf_temp,0.6,200,1.0,163,0.815,200
gemma3:4b,pred_conf_temp,0.7,200,1.0,163,0.815,200
gemma3:4b,pred_conf_temp,0.8,200,1.0,163,0.815,200
gemma3:4b,pred_conf_temp,0.9,69,0.345,55,0.797,200
gemma3:4b,pred_conf_temp,0.95,5,0.025,4,0.8,200
gemma3:4b,pred_conf_temp,0.99,0,0.0,0,,200
